deck,segments,stock_wall_s,a43_wall_s,speedup,set
cebik-w4rnl/models/Wire-Arrays/nec/10-28-hordelta-cnrfd-12.nec,175,0.24283572053536773,0.12667076056823134,1.9171,corpus
cebik-w4rnl/models/Wire-Arrays/nec/10-3elYagi-14.nec,100,0.3062572255730629,0.18223778391256928,1.6805,corpus
cebik-w4rnl/models/Wire-Arrays/nec/10-8jk-12.nec,66,0.29477172205224633,0.18189057102426887,1.6206,corpus
cebik-w4rnl/models/Wire-Arrays/nec/10-halfsq-14.nec,150,0.3363454542122781,0.19453132897615433,1.7290,corpus
cebik-w4rnl/models/Wire-Arrays/nec/14-3eledzbeam-12.nec,84,0.11080921860411763,0.06302264193072915,1.7582,corpus
cebik-w4rnl/models/Wire-Arrays/nec/14-5wllongwire-endfd-12.nec,440,0.9482782250270247,0.2782325940206647,3.4082,corpus
cebik-w4rnl/models/Wire-Arrays/nec/14-8jk-12.nec,66,0.3141343994066119,0.19361539417877793,1.6225,corpus
cebik-w4rnl/models/Wire-Arrays/nec/14-halfsq-14.nec,150,0.3575370744802058,0.20484357420355082,1.7454,corpus
cebik-w4rnl/models/Wire-Arrays/nec/14-halfsqbeam-14.nec,118,0.3392051779665053,0.20410041231662035,1.6620,corpus
cebik-w4rnl/models/Wire-Arrays/nec/14-slopet2fd-12.nec,96,0.3256617449223995,0.1923316209577024,1.6932,corpus
cebik-w4rnl/models/Wire-Arrays/nec/14-trianglebeam-12.nec,614,1.7037829919718206,0.38365990528836846,4.4409,corpus
cebik-w4rnl/models/Wire-Arrays/nec/14-vbeam-12.nec,442,1.0020678299479187,0.27989881904795766,3.5801,corpus
cebik-w4rnl/models/Wire-Arrays/nec/1r8-28-horhexloop-12.nec,248,0.43908293917775154,0.22045023832470179,1.9918,corpus
cebik-w4rnl/models/Wire-Arrays/nec/1r8-28-horhexloop-large-12.nec,151,0.36602624086663127,0.21116665983572602,1.7334,corpus
cebik-w4rnl/models/Wire-Arrays/nec/1r8-28-hort2fd-med-12.nec,142,0.34381197299808264,0.19924717349931598,1.7256,corpus
cebik-w4rnl/models/Wire-Arrays/nec/1r8-28-hort2fd-med-tl-12.nec,368,0.5056884018704295,0.1972798090428114,2.5633,corpus
cebik-w4rnl/models/Wire-Arrays/nec/1r8-bobtailbeam-12.nec,151,0.416685922536999,0.2454413822852075,1.6977,corpus
cebik-w4rnl/models/Wire-Arrays/nec/1r8-dblrect-12.nec,153,0.36638896400108933,0.21265337383374572,1.7229,corpus
cebik-w4rnl/models/Wire-Arrays/nec/1r8-halfsq-14.nec,75,0.3210259429179132,0.19872240256518126,1.6154,corpus
cebik-w4rnl/models/Wire-Arrays/nec/21-coledz-12.nec,192,0.2153716767206788,0.0882521872408688,2.4404,corpus
cebik-w4rnl/models/Wire-Arrays/nec/21-coledzlazyh-12.nec,386,0.585814131423831,0.1387950978241861,4.2207,corpus
cebik-w4rnl/models/Wire-Arrays/nec/28-hentenna-12.nec,82,0.10513084381818771,0.06422854447737336,1.6368,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-1wlhordelta-12.nec,175,0.3642142857424915,0.20773688005283475,1.7532,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-1wlhorhexloop-14.nec,91,0.31398592377081513,0.19133064756169915,1.6411,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-1wlhoroctloop-12.nec,169,0.3655517720617354,0.20589568372815847,1.7754,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-2elYagi-12.nec,23,0.2966687302105129,0.1887871827930212,1.5714,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-3elYagi-14.nec,100,0.3239990812726319,0.1940187574364245,1.6699,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-3r9-4wire2elYagi.nec,90,0.3228634293191135,0.19683651020750403,1.6403,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-halfsq-12.nec,75,0.30874854512512684,0.19141620816662908,1.6130,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-halfsqbeam-12.nec,132,0.3412304571829736,0.20429074903950095,1.6703,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-slopet2fd-12.nec,96,0.2307683597318828,0.13904640497639775,1.6596,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-vertrect-12.nec,77,0.3094967044889927,0.1909971907734871,1.6204,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r6-wbdipole-14.nec,16,0.2948804795742035,0.18749400321394205,1.5727,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r9-2elYagi-14.nec,63,0.31155122304335237,0.19825081387534738,1.5715,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r9-2elYagi-reflload-14.nec,66,0.3132488215342164,0.19427285948768258,1.6124,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r9-3elYagi-14.nec,100,0.3277832381427288,0.19690534751862288,1.6647,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r9-3wire2elYagi-14.nec,94,0.32047590846195817,0.19523345306515694,1.6415,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r9-nvis-1wlloop-planarrefl.nec,305,0.6068450375460088,0.28988224221393466,2.0934,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r9-nvis-batwing-planarrefl.nec,492,0.9413881716318429,0.3388982438482344,2.7778,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r9-nvis-dipole-planarrefl.nec,272,0.5628133565187454,0.2738443585112691,2.0552,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r9-nvis-edzlazyh-planarrefl.nec,536,1.0960432151332498,0.37330219987779856,2.9361,corpus
cebik-w4rnl/models/Wire-Arrays/nec/3r9-nvis-jamaica-planarrefl.nec,431,0.845326800365001,0.3322519641369581,2.5442,corpus
cebik-w4rnl/models/Wire-Arrays/nec/5r4-8jk-12.nec,66,0.3517285049892962,0.21872283890843391,1.6081,corpus
cebik-w4rnl/models/Wire-Arrays/nec/5r4-dblrect-14.nec,153,0.35761570697650313,0.21422979095950723,1.6693,corpus
cebik-w4rnl/models/Wire-Arrays/nec/5r4-halfsq-12.nec,75,0.3080705641768873,0.19007779099047184,1.6208,corpus
cebik-w4rnl/models/Wire-Arrays/nec/5r4-moxrect-reversible-12-AA2NN.nec,50,0.303159945178777,0.1919694533571601,1.5792,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-28-hordelta-cnrfd-12.nec,175,0.3382684038951993,0.18840230582281947,1.7955,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-28-lazyh15-al.nec,94,0.11605484504252672,0.068463119212538,1.6951,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-28-sqloop-cnrfd-12.nec,306,0.49217556277289987,0.22285483358427882,2.2085,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-28-sqloop-sidefd-12.nec,205,0.3855849844403565,0.20248903101310134,1.9042,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-2eldelta-12-K4TX.nec,155,0.33225795067846775,0.18812274187803268,1.7662,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-3elYagi-14.nec,100,0.2923027821816504,0.17534575564786792,1.6670,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-8jk-12.nec,66,0.28198894392699003,0.18733827816322446,1.5052,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-bobtailbeam-12.nec,151,0.38666238356381655,0.22794961230829358,1.6963,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-dblrect-14.nec,153,0.33045596024021506,0.18680572602897882,1.7690,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-edzlazyh-14.nec,66,0.10049661807715893,0.061173222959041595,1.6428,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-halfsq-12.nec,75,0.2810330633074045,0.17330735502764583,1.6216,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-halfsqbeam-12.nec,121,0.3078786740079522,0.18262477591633797,1.6859,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-halfsqbeam-14.nec,118,0.30728120636194944,0.18188146268948913,1.6895,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-hentenna-12.nec,78,0.10016824025660753,0.061556891072541475,1.6272,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-lazyh-14.nec,66,0.11336996452882886,0.06116628972813487,1.8535,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-moxrect-reversible-12-AA2NN.nec,50,0.2769332807511091,0.17575746402144432,1.5757,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-multiV-4wl-14.nec,342,0.6708525321446359,0.26342097762972116,2.5467,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-rect-botctrfd-14.nec,71,0.2810411029495299,0.1730627529323101,1.6239,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-rtanglevertdelta-botfd-12.nec,86,0.28663933696225286,0.174437643494457,1.6432,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-slopet2fd-12.nec,96,0.20265373401343822,0.1295393891632557,1.5644,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-vertdelta-botfd-12.nec,85,0.2860731719993055,0.1736933058127761,1.6470,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-vertintfldloop-12.nec,172,0.2494374569505453,0.13412649976089597,1.8597,corpus
cebik-w4rnl/models/Wire-Arrays/nec/7-wbdipole-14.nec,16,0.26861931290477514,0.17114369291812181,1.5696,corpus
cebik-w4rnl/models/Yagis-HF/nec/13el20mwireYagi-KB9MZ.nec,274,0.36017899168655276,0.11783001804724336,3.0568,corpus
cebik-w4rnl/models/Yagis-HF/nec/2el10mB-antbeam-25.nec,164,0.17448649369180202,0.08474868955090642,2.0589,corpus
cebik-w4rnl/nec2-ex3.nec,10,0.08179921749979258,0.0539491823874414,1.5162,corpus
cebik-w4rnl/nec4-ex10_1.nec,12,0.22230735840275884,0.16306996159255505,1.3633,corpus
cebik-w4rnl/nec4-ex10_3.nec,24,0.22328846622258425,0.14460948389023542,1.5441,corpus
cebik-w4rnl/nec4-ex11.nec,28,0.08155994256958365,0.05428225873038173,1.5025,corpus
cebik-w4rnl/nec4-ex3.nec,10,0.08222290966659784,0.05413256445899606,1.5189,corpus
g1ojs/10m/10m 65cm Circ 10mm Copper Magloop H.nec,38,0.08176843309774995,0.054755229502916336,1.4933,corpus
g1ojs/10m/10m 65cm Circ 10mm Copper Magloop V side.nec,38,0.08212033286690712,0.05470540653914213,1.5011,corpus
g1ojs/10m/10m 65cm Circ 10mm Copper Magloop V.nec,38,0.08221596758812666,0.05500160530209541,1.4948,corpus
g1ojs/10m/10m Helically loaded dipole 2.43m long.nec,0,11.279042436741292,2.1497499556280673,5.2467,corpus
g1ojs/10m/10m LL Dipole 4m 5mm dia elements - hairpin.nec,32,0.7619314822368324,0.4832414956763387,1.5767,corpus
g1ojs/10m/10m Quad base fed.nec,40,0.8377891341224313,0.5299989548511803,1.5807,corpus
g1ojs/10m/10m Short Dipole 3m 5mm dia elements - trombone.nec,24,0.6506511983461678,0.41431391006335616,1.5704,corpus
g1ojs/10m/_10m Dipole ref.nec,20,0.38450606632977724,0.248895482160151,1.5448,corpus
g1ojs/10m/_10m V.nec,22,0.6459451150149107,0.4113267017528415,1.5704,corpus
g1ojs/15m/_15m V.nec,22,0.9759212983772159,0.6147627914324403,1.5875,corpus
g1ojs/160m/160m 239cm Circ 10mm Cu Magloop V.nec,110,0.1140268282033503,0.0715826004743576,1.5929,corpus
g1ojs/160m/160m Coax Magloop V.nec,13,0.08538752887398005,0.05748272035270929,1.4854,corpus
g1ojs/160m/160m Single Turn Coax Magloop V.nec,13,0.08535911189392209,0.05735105602070689,1.4884,corpus
g1ojs/160m/160m Three Turn Coax Magloop V.nec,31,0.08812220953404903,0.05958168674260378,1.4790,corpus
